제목,도로명주소,지역,위도,경도,인기점수
비양도식당,제주특별자치도 제주시 한림읍 한림로 167,제주시,33.3860678,126.2258574,4050
두가시영,제주특별자치도 서귀포시 표선면 하천달산로9번길 98,서귀포시,33.3374683,126.8423582,4762
달리맨,제주특별자치도 서귀포시 성산읍 환해장성로 950,서귀포시,33.4445754,126.9095025,3404
알마니,제주특별자치도 제주시 구좌읍 해녀박물관길 37,제주시,33.5242801,126.8619345,1872
워터쉐드카페,제주특별자치도 제주시 조천읍 교래4길 74,제주시,33.4180631,126.6534847,1102
앞돈지,제주특별자치도 제주시 중앙로1길 28(건입동),제주시,33.516056,126.52759,2690
곽지BAR다,제주특별자치도 제주시 애월읍 곽지1길 18,제주시,33.44777,126.30465,3980
넘버 138,제주특별자치도 서귀포시 쇠소깍로 138,서귀포시,33.25168,126.62265,5117
2093하우스,제주특별자치도 제주시 조천읍 남조로 2093,제주시,33.427616,126.66658,11432
금능제면소,제주특별자치도 제주시 한림읍 금능길 47,제주시,33.3880999,126.2282768,868
데미안,제주특별자치도 제주시 한경면 고조로 492-15,제주시,33.32901,126.221903,5223
현옥식당,제주특별자치도 제주시 서광로2길 35(오라일동),제주시,33.4986,126.51429,11265
땅땅치킨 봉개점,제주특별자치도 제주시 번영로 470,제주시,33.491463,126.59227,6476
카페공작소,제주특별자치도 제주시 구좌읍 해맞이해안로 1446,제주시,33.524647,126.85994,36455
명리동식당구좌직영점,제주특별자치도 제주시 구좌읍 일주동로 3010-17,제주시,33.52741,126.8433891,410
협재이길,제주특별자치도 제주시 한림읍 협재2길 14,제주시,33.3925079,126.2412355,442
섭지향,제주특별자치도 서귀포시 표선면 표선동서로 195,서귀포시,33.3216034,126.8304589,5028
돈사돈,제주특별자치도 제주시 우평로 19,제주시,33.47887,126.46408,99068
카페씨닉,제주특별자치도 제주시 구좌읍 해맞이해안로 402,제주시,33.5593547,126.7926649,362
아뜰리에 제주명월,제주특별자치도 서귀포시 안덕면 병악로 31,서귀포시,33.279503,126.36156,6710
숙이네보리빵,제주특별자치도 제주시 애월읍 애월로 118,제주시,33.464344,126.31987,10840
르카페하도,제주특별자치도 제주시 구좌읍 해맞이해안로 2030-8,제주시,33.5091405,126.8999502,288
리보스코화덕피자,제주특별자치도 제주시 수목원길 27,제주시,33.469433,126.4882,15903
세이슌,제주특별자치도 제주시 서광로32길 34,제주시,33.49778,126.52949,1992
그릴데미그라스,제주특별자치도 서귀포시 월드컵로 51,서귀포시,33.24442,126.510895,5087
연화키친,제주특별자치도 제주시 애월읍 상가로 51,제주시,33.448908,126.344049,9627
키아스마,제주특별자치도 서귀포시 남원읍 태위로 255,서귀포시,33.2738476,126.6572752,3649
이익새양과점,제주특별자치도 제주시 한림읍 명월성로 16,제주시,33.4070643,126.2655711,5208
대향연탄구이,제주특별자치도 서귀포시 태평로 407,서귀포시,33.244823,126.563866,2808
범일분식,제주특별자치도 서귀포시 남원읍 태위로 658,서귀포시,33.278404,126.717,1934
